date,open,high,low,close,shares traded,turnover
27-Mar-23,12093.75,12131.35,12015.85,12035.1,39704746,1654.51
28-Mar-23,12066.9,12090.5,11901.85,11917.95,45163635,1918.01
29-Mar-23,11944.3,12142.55,11935.1,12121.3,46017049,2475.19
31-Mar-23,12157.8,12257.65,12154,12243.8,39220803,2153.72
3-Apr-23,12361.05,12456.7,12328.4,12425.85,30415295,2364.13
5-Apr-23,12428.5,12453.8,12340.25,12357.65,48141984,2359.3
6-Apr-23,12366.6,12479.85,12312.75,12469.35,32600318,2076.12
10-Apr-23,12520.1,12636.15,12516.45,12616.75,73596281,3885.26
11-Apr-23,12679.15,12756,12640.4,12742.05,38083703,2600.76
12-Apr-23,12759,12897.65,12751.75,12862.2,46436613,3015.49
13-Apr-23,12884.45,12938.8,12861.15,12918.65,40006724,2989.68
17-Apr-23,13012.9,13012.9,12910.95,12996.15,35288224,2557.2
18-Apr-23,13021.45,13065.15,12954.35,13005.1,42865690,2383.13
19-Apr-23,12992.1,13056.1,12981.15,13002.55,33303250,1979.69
20-Apr-23,13028.5,13049.2,12995.1,13032.35,36654245,2399.47
21-Apr-23,13031.9,13031.9,12881.15,12898.75,31363591,1991.89
24-Apr-23,12901.05,12928.75,12838.2,12893.35,29512385,1901.81
25-Apr-23,12916.95,12942.85,12869.1,12904.55,39822049,2647.45
26-Apr-23,12928.3,12992.65,12900.65,12972.75,38715193,2818.87
27-Apr-23,12984.65,13084.95,12961.4,13071.8,27939569,2072.88
28-Apr-23,13103.55,13208.65,13071,13189.25,43551026,2392.04
2-May-23,13212.3,13307.45,13147.9,13283.15,43950179,3150.92
3-May-23,13273.2,13289.25,13215.95,13278.6,25489324,2496.65
4-May-23,13291.75,13320.2,13260.55,13292.55,27482937,1990.35
5-May-23,13314.3,13453.65,13287.65,13345.8,39105039,4091.91
8-May-23,13422.05,13603.05,13396.55,13584.25,57409644,3995.93
9-May-23,13631.15,13712.4,13600.05,13648.5,43498925,2872.92
10-May-23,13705.35,13763.1,13626.65,13750.85,41131188,2528.85
11-May-23,13810.85,13826.9,13736.05,13803.75,45819931,3119.62
12-May-23,13871.65,13957.2,13854.8,13910.5,63330441,4699.31
15-May-23,13952.75,14082.45,13931.4,14007.85,68826242,4627.52
16-May-23,14046.4,14067.05,13851.2,13877.7,40375181,3034.84
17-May-23,13892.7,13936.5,13839.2,13889.9,37784666,2593.78
18-May-23,13948,13960.85,13756.85,13767.7,40885693,2435.66
